
# Efinity Interface Configuration
# Version: 2023.2.307.5.10
# Date: 2024-11-09 23:11

# Copyright (C) 2013 - 2023 Efinix Inc. All rights reserved.

# [required | optional] (input|output|clkout), x, y, z, __bypass__|[~|!]<clock>, [[~|!]<pin_name>] | __vcc__ | __gnd__
clkout, 130, 148, -1, io_memoryClk
clkout, 0, 41, -1, io_systemClk
clkout, 0, 43, -1, io_systemClk
clkout, 0, 66, -1, io_systemClk
clkout, 0, 67, -1, io_systemClk
clkout, 0, 69, -1, io_systemClk
clkout, 0, 70, -1, io_systemClk
required output, 130, 181, 0, __bypass__, ddr_inst1_CFG_RST_N
required output, 130, 183, 0, __bypass__, ddr_inst1_CFG_SEQ_RST
required output, 130, 182, 0, __bypass__, ddr_inst1_CFG_SEQ_START
input, 124, 483, 3, __bypass__, io_asyncResetn
output, 130, 219, 0, __bypass__, io_ddrA_arw_payload_addr[0]
output, 130, 220, 0, __bypass__, io_ddrA_arw_payload_addr[1]
output, 130, 221, 0, __bypass__, io_ddrA_arw_payload_addr[2]
output, 130, 222, 0, __bypass__, io_ddrA_arw_payload_addr[3]
output, 130, 223, 0, __bypass__, io_ddrA_arw_payload_addr[4]
output, 130, 224, 0, __bypass__, io_ddrA_arw_payload_addr[5]
output, 130, 225, 0, __bypass__, io_ddrA_arw_payload_addr[6]
output, 130, 226, 0, __bypass__, io_ddrA_arw_payload_addr[7]
output, 130, 227, 0, __bypass__, io_ddrA_arw_payload_addr[8]
output, 130, 228, 0, __bypass__, io_ddrA_arw_payload_addr[9]
output, 130, 229, 0, __bypass__, io_ddrA_arw_payload_addr[10]
output, 130, 230, 0, __bypass__, io_ddrA_arw_payload_addr[11]
output, 130, 231, 0, __bypass__, io_ddrA_arw_payload_addr[12]
output, 130, 232, 0, __bypass__, io_ddrA_arw_payload_addr[13]
output, 130, 233, 0, __bypass__, io_ddrA_arw_payload_addr[14]
output, 130, 250, 0, __bypass__, io_ddrA_arw_payload_addr[15]
output, 130, 251, 0, __bypass__, io_ddrA_arw_payload_addr[16]
output, 130, 252, 0, __bypass__, io_ddrA_arw_payload_addr[17]
output, 130, 253, 0, __bypass__, io_ddrA_arw_payload_addr[18]
output, 130, 254, 0, __bypass__, io_ddrA_arw_payload_addr[19]
output, 130, 255, 0, __bypass__, io_ddrA_arw_payload_addr[20]
output, 130, 256, 0, __bypass__, io_ddrA_arw_payload_addr[21]
output, 130, 257, 0, __bypass__, io_ddrA_arw_payload_addr[22]
output, 130, 258, 0, __bypass__, io_ddrA_arw_payload_addr[23]
output, 130, 259, 0, __bypass__, io_ddrA_arw_payload_addr[24]
output, 130, 260, 0, __bypass__, io_ddrA_arw_payload_addr[25]
output, 130, 261, 0, __bypass__, io_ddrA_arw_payload_addr[26]
output, 130, 262, 0, __bypass__, io_ddrA_arw_payload_addr[27]
